frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
87,1.0,[495.2513881247878 169.95599172082933 1916.1204541006146 1061.9041432190518],[1739.335693359375 908.8346557617188 1899.182373046875 999.6901245117188],0.26243922114372253, ,0.0
88,1.0,[495.4092076178091 169.4568480094158 1914.9993649933558 1062.2657014159365],[1736.9307861328125 907.590087890625 1900.5501708984375 1001.4380493164062],0.25587278604507446, ,0.0
89,1.0,[495.7582108469742 168.97739716069975 1914.3477945591744 1062.2635329740342],[1736.9454345703125 907.5899047851562 1900.5589599609375 1001.4481201171875],0.26253601908683777, ,0.0
90,1.0,[497.57915327758644 168.27389113954848 1914.9463710531031 1061.3364327814038],[1734.012451171875 905.6802978515625 1902.720703125 1003.4117431640625],0.2585451304912567, ,0.0
91,1.0,[498.47341808453916 168.02999982804732 1915.0027272897244 1061.0257758123228],[1733.8876953125 905.6327514648438 1902.71240234375 1003.4791870117188],0.25816765427589417, ,0.0
92,1.0,[498.8304002992262 168.05041408335433 1914.8298111377749 1061.004138836235],[1734.12451171875 905.7476806640625 1902.5328369140625 1003.3787841796875],0.25586944818496704, ,0.0
93,1.0,[499.6801420567564 166.18871645694958 1915.05583205112 1061.3825283414099],[1732.174072265625 903.7185668945312 1904.473388671875 1005.5460815429688],0.2508258521556854, ,0.0
94,1.0,[500.1891957539069 164.90108452169727 1915.0563450429268 1061.7458102963706],[1732.4534912109375 903.7763671875 1904.3975830078125 1005.459228515625],0.2513864040374756, ,0.0
95,1.0,[498.6847890614141 161.7675076900539 1913.9625703693555 1058.6222910041813],[1732.2066650390625 904.022705078125 1904.23828125 1005.1190795898438],0.26031991839408875, ,0.0
96,1.0,[498.32113857983825 161.62081787506116 1913.1664493936582 1056.9443380040032],[1732.115478515625 903.996826171875 1904.319580078125 1005.112060546875],0.25832033157348633, ,0.0
97,1.0,[497.8678318900662 160.81636343394547 1913.1463355745118 1056.3622847652543],[1732.19677734375 904.0203247070312 1904.341552734375 1005.1069946289062],0.2594451904296875, ,0.0
98,1.0,[495.41790686279637 147.37105599660515 1911.9573262535155 1044.2865988475655],[1733.3734130859375 905.072998046875 1903.0052490234375 1003.5828247070312],0.2721277177333832, ,0.0
99,1.0,[494.3422451722072 142.07433663110083 1911.7605714795732 1040.3600542894776],[1733.451416015625 905.0960693359375 1903.015869140625 1003.5590209960938],0.2717464864253998, ,0.0
100,1.0,[489.0512816482452 123.72339528724069 1911.5174572337014 1026.7288505254035],[1731.1739501953125 903.7941284179688 1904.2752685546875 1005.099609375],0.25325074791908264, ,0.0
101,1.0,[486.241453786226 115.44263126368082 1912.3081879931956 1021.0181012293606],[1731.18017578125 903.8270874023438 1904.214111328125 1005.0617065429688],0.2531561255455017, ,0.0
172,27.0,[275.04331355978877 8.227945794824791 1682.3675393023382 877.1093351493247],[882.0935668945312 307.6768798828125 1251.034912109375 529.154541015625],0.4681021273136139,ঢাকা মেট্রো ১৭-২০৬৪,0.6661544678070823
173,27.0,[267.04388906405256 3.8812171584644375 1680.576969973398 873.083665265576],[882.1072998046875 307.6612548828125 1250.7191162109375 529.0772094726562],0.4709652066230774,ঢাকা মেট্রো ১৭-২০৬৪,0.6714506856114314
174,27.0,[249.78098310808582 1.3219418054645757 1667.9719699678078 869.5495492923225],[875.0592041015625 327.8813781738281 1232.6370849609375 541.48193359375],0.32135897874832153,ঢাকা মেট্রো-গ ১৭-২০৬৪,0.4249435748868981
175,27.0,[242.6083841641871 0.49259333726257637 1664.2613586017378 868.0335663424821],[875.054443359375 327.8667297363281 1232.570068359375 541.4843139648438],0.3213522732257843,ঢাকা মেট্রো-গ ১৭-২০৬৪,0.4249435748868981
176,27.0,[239.78435930326293 -0.10024171867183895 1664.1303803397 866.3937819869743],[876.0734252929688 328.13958740234375 1231.923095703125 541.1920166015625],0.3084602653980255,ঢাকা-মেট্রো-গ ১৭-২০৬৪,0.5850299554500538
177,27.0,[244.84408445601912 3.57995453163079 1673.069870481576 874.923388371516],[879.8118896484375 320.81072998046875 1241.8992919921875 552.0787963867188],0.43291357159614563,ঢাকা মেট্রো গ ১৭-২০৬৪,0.3540189884644324
